ID,News_title,News_headline,Category
30,"How Pakistan’s economic future now depends on donkeys, eggs and funny reporters","Pakistan has the world's third largest donkey population. Stop laughing! (Of course, China is first).",humour
31,Political turmoil in Sri Lanka: Why India needs to wake up to challenges from Mahinda Rajapaksa's return,"The article is co-authored by Atul K Thakur, a New Delhi-based columnist, and Rajiv Jayaram, a journalist and political commentator.",politics
32,India's love for mediocre and cheap gadgets is hurting us,"Blame lies on a mix of government policy, market dynamics and strange sales games.",tech
33,Why DNA tests to prove infidelity will spike cases of wife beating,The SC judgement strengthens misogyny in a society already reeling from it.,politics
34,"Best smartphones for every budget: Galaxy S8, OnePlus 3T, Moto G5 Plus and more","From flagship winners to killers, best the Android platform has to offer.",tech
35,Why Nehru's legacy will haunt Modi,"Pandit Jawaharlal Nehru's shadow will always loom large over anyone who occupies the highest political office in the country. Modi, too, cannot escape it.",politics
36,Great day for Indian sports: PV Sindhu enters women's badminton final at Rio 2016,She had earlier upset world number two Wang Yihan of China in the quarter-finals.,sports
37,World on edge post Paris attacks,French President Francois Hollande is hoping to build bridges between Russia and the US.,politics
38,"Arnab Goswami isn't a liar. He covered Gujarat riots, World War II and alien invasion",Proof Arnab Goswami can't be wrong even if history says otherwise.,humour
39,How BJP won a losing battle in Gujarat,Nine takeaways from the Assembly election results.,politics
40,"The killer electronic leash, now also at 30,000ft",There is a risk of losing the beautiful 'me time' now during air travels.,tech
41,Why Subramanian Swamy's microphone makes Congress tremble,"In just three days of being MP, he has made the Opposition see red.",politics
42,Sajjan Kumar verdict: Why the criminal justice system is still awaiting a cleansing,"Even as we welcome the punishment of one set of perpetrators, there are several still free.",politics
43,Why start-ups like Flipkart are worth more than Tata Motors,"E-commerce, mobile wallets, payment banks, driverless cars will transform the way we work, consume, travel and pay.",business
44,Third cut is the deepest,"Vinod Rai's book blows cover off Manmohan Singh. Even when he was PM, he chose not to act as one.",politics
45,Why the surprise? Google recognises Modi government reality – history began in 2014,"For Modi to be elevated, Nehru has to be obliterated.",politics
46,Hilarious Twitter thread explores demonetisation as an in-flight announcement,"Fasten your seatbelts, we’re in for a terribly bumpy ride.",humour
47,"For Modi sarkar, anyone who dissents needs to be crushed",JNU is not the only institution that has been oppressed by using coercive power of the state in this government's two-year term.,politics
48,"Ex-Armymen should have dignity, keep away from news channels",The JNU agitation has made clear that the much extended honeymoon of the armed forces with the electronic media is over.,politics
49,How telecom operators plan to outwit Reliance's JioPhone move,"After Idea, now Airtel is planning to counter the phone's threat with a Rs 2,500 4G smartphone.",tech
50,India deserves to know what happened to Subhas Chandra Bose,It is impossible to sustain the belief that the Boses' surveillance was based on any threat perception emanating from them.,politics
51,How the outbreak of coronavirus will hit the global business hard,"Given China’s massive global economic footprint, the impact of the epidemic is beginning to be felt, without a crisis point being reached as yet.",politics
52,Why Chambal burnt during Bharat bandh,"The SC population in Bhind, Morena and Gwalior is politically assertive.",politics
53,Why singing Jana Gana Mana is unpatriotic,"What I think is, it is not the word 'adhinayak', but the whole song that needs to undergo a change.",politics
54,How to exploit Hurriyat and Hizbul Mujahideen's power struggle in Kashmir,"The rift needs to be blown up, adding confusion even in the minds of the youth.",politics
55,"EPL round-up: Chelsea rampant, Manchester clubs on the rise and the losers",Arsenal vanquished with ease.,sports
56,Kejriwal's charisma wins Delhi for AAP,Kejriwal’s comeback is all the more significant because he repeated his 2015 feat so convincingly.,politics
57,How Dhinchak Pooja influenced the jilted nagin dancer from Shahjahanpur,The innocent folly of unpolished genius.,humour
58,Should you be excited about Jio offering broadband internet?,JioFiber is expected to be unveiled by June this year.,tech
59,An acronym is working against this Kashmir water bodies organisation,That name really needs to change.,humour
60,"No transparency in Modi sarkar, hence #SwarajforModi controversy",The entire saga has undeniably damaged PM’s claims of first year of immaculate governance.,politics
61,"Imagine if PK was a woman, would you still be laughing?","Unfortunately, even the gods seem helpless in ensuring a safe homecoming for women in India.",politics
62,Delhi gay parties need to stop being transphobic,"Inequality, difference and discrimination within the LGBT community must be addressed.",politics
63,What if India becomes a Hindu Rashtra?,"Fear, hate and insecurity will be exploited to push down anti-people policies aimed at greater control and more profit.",politics
64,How OnePlus 2 can give iPhone a run for its money,"Despite the low price, there is virtually no area where the phone holds back.",tech
65,Making sense of breaking stories,Short analysis of the day's leading developing headlines.,politics
66,Truth behind surgical strikes and India-Pakistan video games,Releasing footage immediately after the Indian one leaves much in doubt.,politics
67,"Maggi will be back, but not in two minutes. Twitter reacts","In conditional relief for Nestlé India, the Bombay High Court removed the six-month ban on the company's flagship noodles.",politics
68,Cricket World Cup: Why we need to watch out for Australia's three Mitchells,"With all-rounder Mitchell Marsh, swing-meister Mitchell Starc and the red-hot, re-moustachioed Mitchell Johnson, Michael Clarke's fifth World Cup dream is not a long shot.",sports
69,"Demonetisation, cashless push has crippled urban street vendors","This article has been co-authored by Ashwin Thomas, Lekha Adavi and Vinay Sreenivasa.",politics
70,"ET's headline, not Ireena's exit from Axis Bank, reeks of gender bias",She left the board for no other reason but her husband’s stewardship of a company with which her own now has a commercial transaction.,business
71,CBI raid by 'psychopath' Modi is a win-win for Kejriwal,What PM should have learnt by now is to never give an opportunity to Delhi CM to cry victim.,politics
72,Taliban chief Mullah Mansour's killing doesn't mean Pakistan wants peace,"India's stakes, along with that of Iran and Afghanistan, in the great game have only become larger.",politics
73,Delhi polls: Ten reasons why I would vote for Arvind Kejriwal,"We saw what the ""experienced"" Congress party did. Ex-Delhi CM certainly seems the better bet.",politics
74,India is ready for a Congress-mukt Bharat,A party that gave India one of its worst ever governments can easily be called the nation's worst ever Opposition.,politics
75,Ten big life lessons from Big B,"When you see Amitabh Bachchan, you don't see a 76-year-old man with weak knees. You see a man of vigour, with a straight spine, striding ahead with purposeful steps.",Arts
76,Just how poorly are Modi's ministers performing?,The PM needs a cabinet reshuffle.,politics
77,Should India be worried after Baramulla attack?,Ceasefire violations have increased but there's no extraordinary spurt in frequency.,politics
78,Why Kanhaiya Kumar's battle in Begusarai represents a strong new hope for Indian politics,"Caught between communalists and criminals, Begusarai sees more than a single ray of light in these student leaders.",politics
79,The Election Commission of India must safeguard its own vote for democracy,"The ECI has a great record of transparency and impartiality. But under political pressure, that’s showing signs of strain.",politics
80,Can Modi government's crop insurance scheme really prevent farmer suicides?,The much-touted Pradhan Mantri Fasal Bima Yojana is not helping the poor and dying farmers even as it's proving to be a huge drain on the exchequer.,politics
81,5 reasons India-Israel relations are important,"Ahead of PM Narendra Modi’s visit to Tel Aviv, the spotlight has shifted to his chemistry with Benjamin Netanyahu.",politics
82,"Modi's Hard-Hitting Appeal: What happened at Balakot, Pakistan will decisively impact India's polls","Yes, the IAF is to be credited for the strike. But people believe it wouldn't have been possible without Narendra Modi.",politics
83,Five big economic landmarks since independence,"Of late, India has also emerged as an assertive voice of the developing economies of the world.",business
84,"Naya Pakistan, Same Old Priorities: Why Imran Khan thinks parrot cages and hand-made carpets matter more than education","Even as Pakistan's economy collapses and cuts are made in sectors like education, the govt is apparently happy to spend millions on plush carpets and parrot cages for its leaders' homes.",politics
85,"Where there is guilt, there is Ghoul: Why you should watch the new Radhika Apte-starrer Netflix miniseries",It serves as a smack across your face and shows you a mirror.,Arts
86,"This winter, don't forget the skull cap",In the name of majority the very concept of India is being confined to parochialism.,politics
87,Why EVM tampering allegations are baseless,The source code of the machine is written by in-house engineers of BEL (defence ministry PSU) and ECIL (atomic energy ministry PSU).,politics
88,Gang-rape of 4-year-old: Does India not care?,Perhaps we have now come to accept that a girl is a fodder for male lust.,politics
89,BJP can no longer take Dalits for granted,A Freedom March would be taken out on July 11 from Gujarat's Mehsana to commemorate the first anniversary of the Una flogging incident.,politics
90,When Modi meets Trump - things will be a lot different,This will be PM's fifth and shortest bilateral visit to the US since he took office.,politics
91,Yes Boss: Five compelling reasons why we should all watch Bigg Boss,Haters gonna hate you. Even if you don't watch Bigg Boss season 12.,humour
92,"So, who brought Parliament down?",Both Opposition and ruling party are responsible for the House's slide into irrelevance.,politics
93,Beware of medicines claiming to cure chikungunya pains,The illegal medicine market is exploiting the fact that people are willing to try out anything to relieve the excruciating ache.,politics
94,Maharashtra is butchering democracy with its meat bans,"People of this great state are evidently being asked to give up their freedom quite systematically, one animal at a time.",politics
95,From Ufa to uff: How Modi sarkar is weakening India in front of Pakistan,"By saying we won't talk Kashmir, New Delhi is giving Islamabad the excuse to heighten terrorism.",politics
96,How much more proof do we need that demonetisation was unnecessary?,"Lakhs of people waited in queues for banks to open, sometimes for days, while politicians, bankers and black money operators made merry.",business
97,Media needs to stop punching AAP,Let's leave the legal niceties to the lawyers because this is not about freedom of the press at all.,politics
98,"Saradha scam: Mamata, lord of the snake pit",Our cartoonist sketches the landscape of Indian politics with his wicked pen.,humour
99,Uber: A long history of bad trips for women,"Ironically, the taxi app was seen by many women as a means to allow travel freely without worrying about how to get home.",politics
100,Google's Android Go will change the way India buys budget smartphones,It is a software solution to problems faced by the fast-growing entry-level phone segment.,tech
101,Are the security forces and AFSPA the only villains in Kashmir?,"If we don't need the law, we should stop wasting trained soldiers on counter-insurgency tasks.",politics
102,How a group of women stirred up a silent revolution this Ramzan,"Let's save the world, one iftar at a time.",politics
103,Why French President Macron's India visit may make Justin Trudeau feel snubbed,"Over the last two decades, the partnership has grown steadily, with no major political differences darkening the sky between Paris and Delhi.",politics
104,Why SC's dismissal of plea on defamation law is significant,"Cases against politicians like Subramanian Swamy, Rahul Gandhi and Arvind Kejriwal will go on.",politics
105,Kiku arrest: Courts should stop wasting time,"Only the actor was targeted, while Kapil Sharma, and others associated with the show were spared.",politics
106,How our footprints are exhausting Earth's budget,"On the Earth Overshoot Day, it is time to pause and ask: are we, the humans, living within the means of our planet?",politics
107,Mood of the Nation poll reveals Rahul has as much to prove as Modi,The nation is watching the Congress vice-president closely but there is no clear verdict on his performance.,politics
108,Modi's aggressive outreach can make India biggest player in Africa,The growing Chinese presence in this vast continent is a matter of concern for New Delhi.,politics
109,"After Article 370, new style: This can be a fresh start for fashion designers from J&K and Ladakh","This is a carpe-diem moment for fashion designers in the UTs, to celebrate their cultural identity, educate about their roots and tell their rich textile story in designs that go beyond the pheran.",Arts
110,How we pour our poison into the lives of our children,Are we becoming a human-eat-human society?,politics
111,"China reorganising military, does Modi have a plan?",The new Strategic Support Force's goal is to prepare Beijing to fight the war of the future.,politics
112,Why India is struggling to beat China's growth story,The writing is on the wall: it is not possible to stop Beijing's imports and impossible to impose protectionism on domestic players.,politics
113,"Blame Pakistan for failed peace talks, not India",We have succumbed to the usual pressures to resume the dialogue without any concrete moves by the latter to justify our course reversal.,politics
114,We're yet to see PM Modi walk his environmental talk,"Contrary to international appearances, the Modi government's record on ecology and pollution in India is a woeful let-down.",politics
115,Where can Abu Bakr al Baghdadi possibly be?,There are reports that suggest foreign fighters are the ones fleeing.,politics
116,"Salman Khan is only guilty of being human, please","The number of verdicts, stays, appeals and rulings in the blackbuck, chinkara poaching cases are now too much for us to keep a track of.",humour
117,Why Kashmir's real problems are lurking behind militancy,Rising substance abuse and high rate of unemployment turn peace-building efforts redundant.,politics
118,"Laxminama: How religion and trade shaped each other, and human civilisation","[Book extract] Business in India blossomed always in tune with liberal religious thought, where profit and credit had its sanction in all religious texts.",Arts
119,Better late than never. But why was India fumbling against Pakistan?,The Modi government has finally realised what was well known — that 'Pakistan will not mend its ways'.,politics
120,Rafale controversy: What India Today RTI queries revealed about HAL and Dassault 'negotiations',Dassault Aviation and Hindustan Aeronautics Limited  are working together on Mirage upgrade and some overhaul projects.,politics
121,Trump as President will be as bad as India's achhe din,"In desperate times, people are not interested in knowing whether his reckless proposals are at all implementable.",politics
122,#NehruSnooped: Our historians have betrayed Subhas Chandra Bose,It's an irony that even files related to pre-independence period remain classified and many have been destroyed since 1947.,politics
123,What India hopes as Maldives Opposition seeks to oust president Yameen,It’s an open secret that India has no love lost for the Yameen administration for a host of reasons.,politics
124,Darjeeling hills: Why BJP has turned the heat on Trinamool over Rohingya immigrants,"With Lok Sabha elections nearing, the Rohingya issue is likely to intensify in West Bengal.",politics
125,"Hyderabad blue in Naidu, KCR dust-up",The TDP hopes to raise the decibel level on phone tapping so high that it drowns Chandra Babu's alleged involvement in the cash-for-vote scandal.,politics
126,I love my country. Why the Faizabad sit-in verdict makes me hopeful about Pakistan's tomorrow,"No, the Naya Pakistan does not feel the pressure to cower in front of religious organisations.",politics
127,"Fighting 377, stupidly: In seeking 15 seconds of fame, gay rights activists have only lost valuable time","The Indian State is not against equality for gay people. But by siding with elements like the 'Tukde Tukde' gang, the LGBTQ community made the fight harder for itself.",politics
128,Asus ZenFone 5Z review: Beating the OnePlus 6 at its own game,"Because of the sum of its design, internals, and price to performance ratio, the ZenFone 5Z emerges as the king of the mid-range flagship segment.",tech
129,"NSG may be a failure for Modi, but MTCR membership a big win for India",New Delhi can now access state of the art drone and missile technology systems which have been denied all along.,politics
130,Are RSS forces rewriting history for Hindutva glory?,How textbooks are being used to introduce a new 'past perfect' and 'future tense' for young Indians.,politics
131,Why corruption is the new normal in Telangana,"Municipal chairperson of Sircilla, Samala Pavani, says 'our minister' asked members of the municipal council to demand commissions.",politics
132,Why the Indian Army isn't a lethal war machine today,The defence services struggle with infrastructure and equipment issues which appear to be drawing all the attention.,politics
133,How technology can fail us,Regulation has been laggard in technology especially in communication technologies of the 21st century.,tech
134,Why is PM Narendra Modi copying Indira Gandhi?,Is there a method in what he is doing?,politics
135,How Trump's policies and Russia's assertiveness will make things more perilous in Middle East,The hostilities among the Arab states and the Iran factor have emboldened Israel to pursue an ever ruthless policy vis-a-vis the Palestinians.,politics
136,Imran Khan likely to stir trouble for India over his visit for SCO summit,"Pakistani liberals advocate that the Pakistani PM should use the visit to do everything possible to embarrass India, including targeting us in his speech at the summit.",politics
137,"Swamy a legend in his own mind, Congress views him as Modi's hitman","He waded in on behalf of government, directly accusing Sonia Gandhi of wrongdoing in AgustaWestland chopper deal.",politics
138,Five questions that Delhi BJP thinks Arvind Kejriwal will not be able to answer,"The Delhi BJP has decided not to come out with a manifesto for the upcoming Assembly elections, instead this is what they want the AAP leader to answer.",politics
139,How Kashmir's azadi brigade ensured my answer sheet was never checked,"The moment we left the exam hall, we were caught in a battle between students firing on one end and the police firing on the other.",politics
140,Why sending children to jail is a bad idea,Many of us working in the child rights sector know the Juvenile Justice Bill will lead to a more violent and brutalised society.,politics
141,Cricket: A gentleman's game but where are all the gentlemen?,There are big players in the gentleman's game but they are definitely not gentlemen.,sports
142,"India needs to cut Pakistan off, end the farce of trade, sport and diplomacy",New Delhi must exhibit resolve and intent that it is serious about isolating Islamabad across the board.,politics
143,Why Virat Kohli wants BCCI to allow more WAG time. We probably know the reason,"More than cricket goals or acting goals, Virat and Anushka have given us relationship goals.",humour
144,Sad how Indians don't remember Air India Kanishka bombing,"When Inderjit Singh Reyat walks free, most Indians will be unaware of the crime he committed.",politics
145,Why Vyapam scam needs a Supreme Court monitored probe,There has been a failure of the state machinery to conduct a fair investigation according to due process of law.,politics
146,Nitish Kumar may finally have to bank on BJP's hard Hindutva in 2019 Lok Sabha polls,"'Sushasan Babu' who swears by the three 'C's of fighting crime, corruption and communalism, would have to go back to the drawing board.",politics
147,Trilokpuri riots: Delhi's East End,An inflammable underbelly where opportunities pass by.,politics
148,"Delhi results: How AAP emerged as the ""baap"" of all parties",What Kejriwal did to Modi in Delhi is what the prime minister did to Rahul Gandhi in the General Elections 2014.,politics
149,Do you know Gayle and Pollard want to play for India in the Champions Trophy?,A fresh debate sparks off entitlement of four overseas’ players in a team.,humour
150,Five ways Modi-Shah have changed BJP for good,The BJP has never been this aggressive since the Ram Janmabhoomi agitation and its mission is complete dominance over India's political landscape.,politics
151,"Article 15 Movie Review: Ayushmann Khurrana and Anubhav Sinha hit hard with this gritty, demanding film!",'Article 15' is not for the faint-hearted. But 'Article 15' is much needed in Bollywood. I’m going with 4 stars out of 5.,Arts
152,"Disappointed with Sehwag, my cricket hero: Shashi Tharoor pens a sharp note",Do not let cynics exploit the power of your words to silence a young woman's idealism.,politics
153,Peshawar attack: Can Sharif be Pakistan's poster boy in the war against Taliban?,"The attack has helped Nawaz Sharif gain legitimacy and corner Imran Khan, but will he be able to take on the terrorists?",politics
154,"Batla House Movie Review: With ‘Batla House’, John Abraham packs a powerful patriotic punch!",‘Batla House’ evokes memories of a time when saying ‘terror’ was a huge ‘error’. It merits 3.5 stars,Arts
155,Why Bengaluru Football Club (and their fans) are always a good show,The fervour will be on full display when the club plays the AFC semi-final tomorrow.,sports
156,Modi sarkar has done India a favour by promoting Hindi as first language,The bold move will lay the foundation for a more united and inclusive nation.,politics
157,'Blasphemy' mob killing: Pakistan needs to stop preaching to India,The killing of journalism student has exposed Islamabad's claims of protecting its minorities.,politics
158,Priyanka Chaturvedi: 'Congress speaks of ideological change. But it uses Raj Thackeray. Doesn’t it show lack of leadership?',"Priyanka Chaturvedi left the Congress and joined the Shiv Sena last week. She spoke with Rohit E David on what she faced in the Congress, going from a national to a regional party and why she thinks this is Shiv Sena 2.0.",politics
159,Is it Santa Claus or I-T officer? Demonetisation has changed my life,I hope Paytm will give cash back on bribes paid.,humour
160,"What Rashmi Thackeray, Saamana's first woman editor, means for Shiv Sena",The editorial in Saamana — founded by Bal Thackeray — has always been considered the voice of the party chief.,politics
161,Why Robert Vadra is thrilled he won't be battered by the media,Sonia Gandhi's son-in-law claims relief that his security detail is being withdrawn finally.,politics
162,Why death penalty for Boston Marathon bomber is unfair,"Executions have never been a deterrent to crime and many times, there are people that have been wrongly convicted.",politics
163,Plight of Indian Muslims: What we can learn from APJ Kalam and not Hamid Ansari,Can Modi succeed where Mahatma Gandhi or rest of the world has failed in making Muslims feel less insecure?,politics
164,"Budget 2019: Stop doles and grants, frame policies that can actually empower","Guaranteed income schemes, farm loan waivers, subsidies and all such band-aids will not cover the government's blemishes.",politics
165,What surprises will Netaji files hold for us?,We have never been this close to finding out.,politics
166,Sunny Deol's Junior Artist: The star-neta's 'proxy representation' is exactly what we need to be a proper adult!,"Sunny Deol has discovered the secret that characterises you, me and all of India's youth. He's also found a brilliant way out. For him and for us. Full applause, with dhai kilo ka haath!",humour
167,Fearless journalists like Gauri Lankesh are murdered because politicians fear regional media,Political parties are aware of the influence and reach of vernacular news outfits.,politics
168,"No, seriously. Mrs Shami must never have worn that gown","Are Twitterati insane? Forget bigotry, this calls for a fashion revolution.",humour
169,How we must judge Smriti Irani as HRD minister,"A year is a very short time with recalcitrant teachers, administrators and a student-parent body that is unwilling to change its way of doing things.",politics
170,Karnataka poll results could decide if BJP-TDP alliance in Andhra holds,The Chandrababu Naidu-led party wants to assess BJP's political prowess in the southern belt of the country.,politics
171,Media trials and the Sunanda Pushkar case,"With the change in government, and the high profile case not yet closed, it has become a fertile ground for opportunity seekers.",politics
172,Why MK Stalin is cautious about the floor test in Tamil Nadu,"Once a no-confidence motion is defeated, a second one cannot be moved for the next six months.",politics
173,"Sant Rampal: All babas frauds, all gods false, except my guru and my god","Rampal rampages through your conscience because your guruji is so different, kind and cool.",politics
174,Rohith Vemula suicide: Raising Dalit voice inside a 'Brahmin stronghold',"'Discrimination' is the catchword. No doubt, it exists.",politics
175,Lt Gen ML Naidu: 'Politicised forces can swing any way. I completely endorse every word in the letter sent to the President',Former Army vice chief Lt General ML Naidu spoke with Rohit E David about the controversial letter to the President by armed forces veterans on the 'politicisation of the forces'. Some veterans have outright rejected signing such a letter.,politics
176,"'Shubh Mangal Saavdhan' is a film that's obsessed with sex, but in a good way","In this Hindi remake of his Tamil film, Kalyana Samayal Saadham, RS Prasanna weaves a romantic comedy around the issue of erectile dysfunction.",Arts
177,The Saris of Ammalda Marcos,,humour
178,"Rajinikanth's 'Petta' drops at the box office, and his fans are 'Rajinified'!",Havans to shaadis — crazy things Rajini fans do for the superstar!,Arts
179,Vinod Mehta was the best editor I worked with,He brought out the best in those who worked with him.,politics
180,Why resistance movements fail to bring social change in India,Social movements are losing potency and their impact to challenge dominant cultures is eroding.,politics
181,Why India must find an effective counter strategy to tackle Pakistan,"The question now is whether, in view of our neighnour's defiant actions, the NSA-level dialogue should proceed.",politics
182,Why hanging Yakub Memon will not see justice served,Don't do it just to satisfy 'Collective Conscience'.,politics
183,Why NaMo supporters are angry,The 'bhakts' believe in miracles while Namo-ites seethe in anger.,politics
184,"Xiaomi Redmi 6, 6A and 6 Pro: First impressions","Apart from focussing heavily on photography and improved performance, the three phones also bring with them some India-centric features.",tech
185,Paris attacks prove cities are sitting ducks for terrorism,"The strikes on November 13 were on multiple targets at the same time, something the French capital had not seen in the past.",politics
186,Why porn ban won't stop a Savita Bhabhi from fulfilling India's sexual desires,"Even today with the internet, there is still a demand for the supply of pulp smut comics, magazines, and stories.",politics
187,Rahul Gandhi is unaware of the ugly realities of Amethi,The Gandhi-Nehru family have not done enough for the poor people of the constituency.,politics
188,RBI hauling up 12 mega defaulters is only the beginning of a long NPA battle,"The total amount of NPA in the case of these 12 listed corporate defaulters is almost Rs 175,000 crore, but it's only a fraction of the actual amount.",business
189,[Explained] Why does ISIS have so many names?,"Like al Qaeda, the Islamic State has also evolved over time",politics
190,Why Lord Shani's anger will continue to strike down Indian women,"Thanks to seers like Swaroopanand Saraswati, men find it easy to blame the opposite sex for anything and everything.",politics
191,Pranab told me how upset he was when Rajiv Gandhi snatched PM chair from him,[Book Extract] He was truly shocked but tried to take it in his stride.,politics
192,India needs to do a balancing act with Russia and China at BRICS Summit,New Delhi is banking on trade ties to isolate Pakistan in the region.,politics
193,Padmavati: How censorship is dragging India back to the middle ages,"The simple principle is: 'If you don’t like a film, don’t watch it. If you are critical, do just that without threats.'",Arts
194,Anitha's suicide after NEET verdict raises questions about our education system,Our students need to be aware of what is happening around them and problems that need fixing.,politics
195,"Time for a break: From blue lagoons to national parks, Rajiv Gandhi's vacations shocked 1980s India",It was the first time India had a happily married PM. And one who believed in flamboyant holidays with family and friends.,politics
196,Kejriwal should be ashamed of his TV ad,"Other politicians can now follow suit, defeating the very purpose of Supreme Court ruling on leaders wasting money.",politics
197,The story of HIV/AIDS in India is one of denial and delusion,"Thirty years since the virus was first detected in the country, we still have the third highest number of positive patients in the world.",politics
198,Let me explain everything APJ Abdul Kalam was not,And yet why a billion-plus Indians hail him as their most loved leader in decades.,politics
199,"Vijay fans abusing journalist on Twitter is nasty, but not shocking",It is a crime as cowardly and dastardly as stalking or molestation.,Arts
200,"How Zuckerberg became a sanghi, thanks to Modi","Anti-Bhakts, trolls and haters had a different agenda this time round.",humour
201,Has Maharashtra CM Devendra Fadnavis hinted at early Assembly elections?,CM as been insisting that BJP workers go out in public beating the drums.,politics
202,Bihar polls: When package politics trumps reform,"By declaring the impractical 1.25 lakh-crore bonanza, Modi has rehabilitated the appeasement politics of the Congress era.",politics
203,Here's why joining Pakistan is not an option for Kashmiris,Our neighbouring state has dealt brutally with Balochis seeking azadi.,politics
204,"Whether it's Paris, Peshawar or Mumbai, terror is the only enemy",These attacks have a lot in common.,politics
205,Madhya Pradesh Assembly election: How both BJP and Congress are trying to rein in the rebel candidates,"BJP had minister Narendra Singh Tomar handling the rebels, while the Congress deputed Digvijaya Singh to speak to aggrieved candidates.",politics
206,No political party can afford to take women voters for granted,They expect much more than mere manifestos.,politics
207,India's Trump Card: Why inviting the US President to Republic Day is a good idea,"This is simply a move to smooth India-US relations. And no, it has nothing to do with India's 2019 Lok Sabha polls.",politics
208,"Diwali or not, India can't boycott Chinese goods","The cracker revolutionaries must know that India’s share in Beijing’s global export, more than $2 trillion, is less than even three per cent.",business
209,What helped wholesale price inflation stay negative?,Sharp drop in petroleum prices is only one of the reasons.,business
210,Why Left-liberals justify views like 'Bharat ke tukde honge',Their academics have always stressed their idea of India as a conglomeration of multiple nationalities.,politics
211,Union Budget: The day everyone on Twitter turns into an economist,Here are the 'experts' and their two cents.,humour
212,Should India resume cricket ties with Pakistan?,The Indian foreign minister has downplayed reports of the resumption of a bilateral series between the two countries.,politics
213,America's Kashmir Trump Card: Why Delhi should take up Donald Trump's mediation offer on Kashmir,"Even with an iron fist policy, what is the Indian govt achieving in Kashmir? Reportedly, for every two militants killed, a jawan loses his life. Mediation could break this vicious cycle of death",politics
